"","loc_id","name","type","str_no","street","postal_code","ward","phone","building.type","bldgname","Infant","Toddler","Preschooler","Kindergarten","Gradelevel","Total","subsidy","gc_geoid","longitude","latitude","run_date","district"
"1",1013,"Lakeshore Community Child Care Centre","Non-Profit","101","seventh st","M8V 3B5",6,"416-394-7601","Public Elementary School","Seventh Street Public School",0,20,32,40,60,152,"Yes",1031242,-79.50463054,43.59991069,"15-Jun-17","Etobicoke York"
"2",1014,"Alternative Primary School Parent Group","Non-Profit","1100","spadina rd","M5N 2M6",16,"416-322-5385","Public Elementary School","North Preparatory Public School",0,0,12,26,45,83,"Yes",870542,-79.42038828,43.70549092,"15-Jun-17","North York"
"3",1015,"Cardinal Leger Child Care Centre (Scarborough)","Non-Profit","600","morrish rd","M1C 4Y1",44,"416-287-0578","Catholic Elementary School","Cardinal Leger Catholic School",0,10,16,26,50,102,"Yes",365821,-79.17571109,43.79310442,"15-Jun-17","Scarborough"
"4",1016,"George Brown - Richmond Adelaide Childcare Centre","Non-Profit","130","adelaide st w","M5H 3P5",28,"416-415-2453","Other","",10,15,40,0,0,65,"Yes",10222910,-79.38381243,43.64969099,"15-Jun-17","Toronto East York"
"5",1017,"Woodland Nursery School","Non-Profit","1","firvalley crt","M1L 1N8",35,"416-694-1138x151","High Rise Apartment","",0,10,0,0,0,10,"No",334543,-79.28102863,43.70295236,"15-Jun-17","Scarborough"
"6",1021,"Centennial College Progress Campus Child Care Centre(941 Progress)","Non-Profit","941","progress ave","M1G 3T8",38,"416-289-5000x2110","Community College/University","Centennial College Of Applied Arts & Technology",10,20,16,0,0,46,"Yes",13503978,-79.22702962,43.78527327,"15-Jun-17","Scarborough"
"7",1029,"Air-O-Down Child Care Centre","Non-Profit","7","hawksdale rd","M3K 1W3",9,"416-633-2014","Public High School","Downsview Secondary School",10,15,24,0,0,49,"Yes",525550,-79.47966088,43.73040435,"15-Jun-17","North York"
"8",1031,"Cedarbrae Day Nurseries (20 Greencrest)","Commercial","20","greencrest circt","M1G 1B8",43,"416-431-2504","High Rise Apartment","Greencrest Property",0,0,16,12,18,46,"Yes",340155,-79.22343125,43.75836953,"15-Jun-17","Scarborough"
"9",1036,"A B C  Day Nursery","Commercial","145","marlee ave","M6B 3H3",15,"416-789-5011","High Rise Apartment","",10,15,16,20,25,86,"Yes",67882,-79.44103039,43.70326335,"15-Jun-17","North York"
"10",1037,"Tiago Avenue Community Child Care","Non-Profit","145","tiago ave","M4B 2A6",31,"416-285-5644","Public Elementary School","Victoria Park Public School",0,0,21,0,20,41,"Yes",3259557,-79.29815396,43.71269778,"15-Jun-17","Toronto East York"
"11",1041,"Ledbury Park Child Care Program","Non-Profit","95","falkirk st","M5M 4K1",16,"416-782-2539","Public Elementary School","Ledbury Park Public School",0,0,24,39,60,123,"Yes",7110840,-79.42732589,43.72739907,"15-Jun-17","North York"
"12",1044,"Alderwood Action After School","Non-Profit","544","horner ave","M8W 2C2",6,"416-259-7738","Public Elementary School","Sir Adam Beck School",0,15,32,44,90,181,"Yes",6735862,-79.54816511,43.60161044,"15-Jun-17","Etobicoke York"
"13",1045,"Children's Village #1 Day Care Centre","Commercial","1050","markham rd","M1H 2Y7",38,"416-438-3355","High Rise Apartment","",10,10,32,12,30,94,"Yes",6576197,-79.23157073,43.77437348,"15-Jun-17","Scarborough"
"14",1046,"Ferncliff Daycare And After School Group","Non-Profit","128","fern ave","M6R 1K3",14,"416-588-1463","Public Elementary School","Ferncliff Public School",0,0,32,44,72,148,"Yes",8007871,-79.4461161,43.64518889,"15-Jun-17","Toronto East York"
"15",1055,"Balmy Beach Community Day Care Centre","Non-Profit","14","pine ave","M4E 1L6",32,"416-698-5668","Public Elementary School","Balmy Beach Public School",0,0,24,33,63,120,"Yes",7667200,-79.28982694,43.67643591,"15-Jun-17","Toronto East York"
"16",1059,"Mimico Day Care Centre","Commercial","46","mimico ave","M8V 1R1",6,"416-255-4748","Commercial Building","Memorial Hall 1916-1918",0,14,24,0,0,38,"No",7560936,-79.49150464,43.6135977,"15-Jun-17","Etobicoke York"
"17",1060,"Braeburn Woods Day Care Centre","Non-Profit","15","tandridge cres","M9W 2N8",2,"416-745-9472","Public Elementary School","Braeburn Junior School",0,10,16,25,30,81,"Yes",1035925,-79.5488671,43.72803842,"15-Jun-17","Etobicoke York"
"18",1065,"Child's Nest Infant Day Care Centre","Non-Profit","121","cosburn ave","M4J 2L1",29,"416-421-6984","House","",20,20,0,0,0,40,"Yes",19804,-79.34738971,43.68948449,"15-Jun-17","Toronto East York"
"19",1067,"Martingrove Child Care Centre","Commercial","256","john garland blvd","M9V 1N8",1,"416-742-1812","House","",0,15,24,10,15,64,"Yes",10144867,-79.59096139,43.73426956,"15-Jun-17","Etobicoke York"
"20",1070,"Discovery Place Child Care Centre Ltd.","Commercial","22","tuxedo crt","M1G 3S3",38,"416-439-0521","Purpose Built","",10,10,48,20,45,133,"Yes",14258143,-79.22964267,43.78054307,"15-Jun-17","Scarborough"
"21",1072,"Carefree Preschool","Commercial","370","dixon rd","M9R 1T2",2,"416-244-5529","High Rise Apartment","",20,15,48,0,30,113,"Yes",6125248,-79.55615774,43.69591518,"15-Jun-17","Etobicoke York"
"22",1079,"East Scarb. Boys' & Girls' Club(Eastside Child Care Centre 20 Waldock)","Non-Profit","20","waldock st","M1E 2E5",43,"416-287-0007","Public Elementary School","Eastview Public School",0,10,16,26,30,82,"Yes",395203,-79.19133848,43.75907127,"15-Jun-17","Scarborough"
"23",1082,"Macaulay Child Development - Regent Street","Non-Profit","48","regent st","M6N 3N9",12,"416-653-8322x429","Purpose Built","",10,10,24,0,0,44,"Yes",71048,-79.4700873,43.68107214,"15-Jun-17","Etobicoke York"
"24",1083,"Lori Gardens Centre For Early Learning","Commercial","2405","finch ave w","M9M 2X2",7,"416-743-1222x221","High Rise Apartment","",10,15,28,22,25,100,"Yes",10340955,-79.5440321,43.75062129,"15-Jun-17","Etobicoke York"
"25",1086,"Network - Child's Nest Early Years And Child Care Centre - 123 Cosburn","Non-Profit","123","cosburn ave","M4J 2L1",29,"416-421-6984","House","",0,10,32,0,15,57,"Yes",19805,-79.34727006,43.68949692,"15-Jun-17","Toronto East York"
"26",1091,"Eastside Club","Non-Profit","100","galloway rd","M1E 1W7",43,"416-281-0262x207","Community/Recreation Centre","",0,0,0,0,45,45,"Yes",336705,-79.19334169,43.75743706,"15-Jun-17","Scarborough"
"27",1093,"Martin Luther Church Day Nursery","Non-Profit","5","superior ave","M8V 2M1",6,"416-259-2861","House","",0,10,16,0,0,26,"Yes",1035460,-79.48763708,43.61495595,"15-Jun-17","Etobicoke York"
