cabin,content,date,destination,rating,route,title
Premium Economy,"
I have flown with Air Canada a numerous amount of times in lifetime, and I have had no real issues. When it comes to flying anywhere in North America, I can tell you that Air Canada is the best airline on this continent. My experiences on the 'main' carrier (not Rouge) have always been really exceptional.
Within the last few...
",31 July 2017,Kamloops - San Francisco,ui_bubble_rating bubble_50,USA,Air Canada is Better Than Most Carriers Out There (Specifically in NA.)
Economy,"
Didn't got any food and had to pay extra for checked bags. You're paying for a high quality airplane company but getting the service of a low cost one. Soon they'll make you pay for the napkins!
",31 July 2017,Montreal - Vancouver,ui_bubble_rating bubble_10,Domestic,Really bad
Economy,"
San Francisco to Glasgow, by way of Toronto.
Even soft drinks weren't free on the San Francisco-Toronto leg, though they did provide reasonable meals on the transatlantic part.
There was—effectively—no in-flight entertainment, even on the long transatlantic part. They had a WiFi based, use-your-own-device system, but it relied on installing a complicated app that most people around me couldn't get...
",31 July 2017,San Francisco - Glasgow,ui_bubble_rating bubble_20,International,Not terrible
Economy,"
On june 24th we went to newark to take the back flight to milano.we arrived at 15 30when the flight was at 17 50.we trord to make the fast check inbut we were blocked since eTa was missing.the girl thrre didn't tell us to make it while attending,but she just told us to stay in the problem queue. There it...
",31 July 2017,Newark - Milan,ui_bubble_rating bubble_50,International,Bad organization and claim assistance
Economy,"
If you are not more than 5' 9"" you might survive a long flight on air canada. We had the a320 from vancouver to toronto and from montreal to vancouver. Friggin torture! Rock hard seats with no legroom. My back has been bothering me since. One glass of juice the whole trip. 2 washrooms for all of economy! Is there...
",31 July 2017,Vancouver - London,ui_bubble_rating bubble_20,International,Good for short hauls
Economy,"
If you have food allergy and require special meal be aware. I had requested gluten meal two times and still had to buy gluten meal at the airport. Speaking with the airline associates did not help. I know, they don't have to be almost nine hours without meal. Poor service.
",31 July 2017,Toronto - Vienna,ui_bubble_rating bubble_20,International,Good Allergies
Premium Economy,"
I booked this 2 hour flight from San Jose to Vancouver through Travelocity and had difficulty reserving my emergency exit row seats once I decided to pay the extra $30 per seat to get the additional leg room. Travelocity referred me to Air Canada and they referred me back to Travelocity. The Air Canada customer service person also said I...
",30 July 2017,San Jose - Vancouver,ui_bubble_rating bubble_40,Canada,"Good flight from San Jose, CA to Vancouver"
Economy,"
Our first flight was delayed causing us to miss our connecting flight, this happens however, we were given a total of $40 in vouchers for dinner for four people. That hardly covered dinner for two let alone four of us. When we arrived in Vancouver we were given a hotel voucher along with cab vouchers. When we arrived at the...
",30 July 2017,Fort St. John - New Brunswick,ui_bubble_rating bubble_10,Domestic,Poor service when flights were delayed
Economy,"
My second terrifying experience with AC. The ground check in activities was extremely poorly managed. Worse than my first experience. Despite the bad ground arrangement to check in which took over 3 hours I was excited to take the non stop YYZ-DXB flight as i had flown emirates on that sector before and this service has been newly implimented by...
",30 July 2017,Toronto - Dubai,ui_bubble_rating bubble_10,International,Horrible on ground as well as in the sky
Economy,"
The Air Canada customer relations web form limits the areas of contact which makes you wonder if they are really interested. Of 12 flights in 14 months only two have run to schedule. Bag Check-in, cabin crew and those at the pointy end do a good job. The chaos of loading a full plane has to be seen to be...
",30 July 2017,Vancouver - Sydney,ui_bubble_rating bubble_20,International,Are they serious about feedback?
Premium Economy,"
Maple Leaf lounge is poor....Guess I've been spoilt by Air NZ and BA but I guess my expectations of Air Canada's Maple Leaf lounge (international)were a tad high. It's cramped, amazingly so, the food is very average and quite frankly I expected more. It's better out on the main departure lounge in Vancouver. If you're thinking of using the lounge.....don't!
",30 July 2017,Vancouver - Auckland,ui_bubble_rating bubble_30,International,Seriously.......unimpressive
Economy,"
These aircrafts have the worst design I have ever seen, and for no reason that I could see, in terms of leg room and space. 3+4+3. On the aisles, there is the bar to support the seats in front of you that is right where your feet or you luggage are supposed to be - i.e. unless your carry on...
",30 July 2017,Calgary - Frankfurt,ui_bubble_rating bubble_20,International,terrible aircraft interior design for legs
